@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
63,100,0,37,63,0.37,1,0.729927,1,0.270073,0.843882,0.685,1.459854,0.260072
64,100,0,36,64,0.36,1,0.735294,1,0.264706,0.847458,0.68,1.470588,0.26993
65,100,0,35,65,0.35,1,0.740741,1,0.259259,0.851064,0.675,1.481481,0.270204
66,100,0,34,66,0.34,1,0.746269,1,0.253731,0.854701,0.67,1.492537,0.272712
67,100,0,33,67,0.33,1,0.75188,1,0.24812,0.858369,0.665,1.503759,0.276274
68,100,0,32,68,0.32,1,0.757576,1,0.242424,0.862069,0.66,1.515152,0.278029
69,100,0,31,69,0.31,1,0.763359,1,0.236641,0.865801,0.655,1.526718,0.295303
70,100,0,30,70,0.3,1,0.769231,1,0.230769,0.869565,0.65,1.538462,0.30415
71,100,0,29,71,0.29,1,0.775194,1,0.224806,0.873362,0.645,1.550388,0.3075
72,100,0,28,72,0.28,1,0.78125,1,0.21875,0.877193,0.64,1.5625,0.31257
73,100,0,27,73,0.27,1,0.787402,1,0.212598,0.881057,0.635,1.574803,0.315912
74,100,0,26,74,0.26,1,0.793651,1,0.206349,0.884956,0.63,1.587302,0.317296
75,100,0,25,75,0.25,1,0.8,1,0.2,0.888889,0.625,1.6,0.320898
76,100,0,24,76,0.24,1,0.806452,1,0.193548,0.892857,0.62,1.612903,0.328785
77,100,0,23,77,0.23,1,0.813008,1,0.186992,0.896861,0.615,1.626016,0.328896
78,100,0,22,78,0.22,1,0.819672,1,0.180328,0.900901,0.61,1.639344,0.332646
79,100,0,21,79,0.21,1,0.826446,1,0.173554,0.904977,0.605,1.652893,0.337713
80,100,0,20,80,0.2,1,0.833333,1,0.166667,0.909091,0.6,1.666667,0.342108
81,100,0,19,81,0.19,1,0.840336,1,0.159664,0.913242,0.595,1.680672,0.347202
82,100,0,18,82,0.18,1,0.847458,1,0.152542,0.917431,0.59,1.694915,0.349176
83,100,0,17,83,0.17,1,0.854701,1,0.145299,0.921659,0.585,1.709402,0.350104
84,100,0,16,84,0.16,1,0.862069,1,0.137931,0.925926,0.58,1.724138,0.352855
85,100,0,15,85,0.15,1,0.869565,1,0.130435,0.930233,0.575,1.73913,0.355483
86,100,0,14,86,0.14,1,0.877193,1,0.122807,0.934579,0.57,1.754386,0.361279
87,100,0,13,87,0.13,1,0.884956,1,0.115044,0.938967,0.565,1.769912,0.365272
88,100,0,12,88,0.12,1,0.892857,1,0.107143,0.943396,0.56,1.785714,0.391966
89,100,0,11,89,0.11,1,0.900901,1,0.099099,0.947867,0.555,1.801802,0.39803
90,100,0,10,90,0.1,1,0.909091,1,0.090909,0.952381,0.55,1.818182,0.411613
91,100,0,9,91,0.09,1,0.917431,1,0.082569,0.956938,0.545,1.834862,0.413255
92,100,0,8,92,0.08,1,0.925926,1,0.074074,0.961538,0.54,1.851852,0.421015
93,100,0,7,93,0.07,1,0.934579,1,0.065421,0.966184,0.535,1.869159,0.43256
94,100,0,6,94,0.06,1,0.943396,1,0.056604,0.970874,0.53,1.886792,0.436354
95,100,0,5,95,0.05,1,0.952381,1,0.047619,0.97561,0.525,1.904762,0.456844
96,100,0,4,96,0.04,1,0.961538,1,0.038462,0.980392,0.52,1.923077,0.463358
97,100,0,3,97,0.03,1,0.970874,1,0.029126,0.985222,0.515,1.941748,0.468072
98,100,0,2,98,0.02,1,0.980392,1,0.019608,0.990099,0.51,1.960784,0.490129
99,100,0,1,99,0.01,1,0.990099,1,0.009901,0.995025,0.505,1.980198,0.495172
100,100,0,0,100,0,1,1,1,0,1,0.5,2,0.599634
101,99,1,0,100,0,0.99,1,0.99,0,0.994975,0.495,2,0.615229
102,98,2,0,100,0,0.98,1,0.98,0,0.989899,0.49,2,0.638339
103,97,3,0,100,0,0.97,1,0.97,0,0.984772,0.485,2,0.638512
104,96,4,0,100,0,0.96,1,0.96,0,0.979592,0.48,2,0.644285
105,95,5,0,100,0,0.95,1,0.95,0,0.974359,0.475,2,0.650471
106,94,6,0,100,0,0.94,1,0.94,0,0.969072,0.47,2,0.654431
107,93,7,0,100,0,0.93,1,0.93,0,0.963731,0.465,2,0.660247
108,92,8,0,100,0,0.92,1,0.92,0,0.958333,0.46,2,0.674218
109,91,9,0,100,0,0.91,1,0.91,0,0.95288,0.455,2,0.675567
110,90,10,0,100,0,0.9,1,0.9,0,0.947368,0.45,2,0.689699
111,89,11,0,100,0,0.89,1,0.89,0,0.941799,0.445,2,0.691437
112,88,12,0,100,0,0.88,1,0.88,0,0.93617,0.44,2,0.69659
113,87,13,0,100,0,0.87,1,0.87,0,0.930481,0.435,2,0.697965
114,86,14,0,100,0,0.86,1,0.86,0,0.924731,0.43,2,0.700869
115,85,15,0,100,0,0.85,1,0.85,0,0.918919,0.425,2,0.704117
116,84,16,0,100,0,0.84,1,0.84,0,0.913043,0.42,2,0.707292
117,83,17,0,100,0,0.83,1,0.83,0,0.907104,0.415,2,0.707993
118,82,18,0,100,0,0.82,1,0.82,0,0.901099,0.41,2,0.710794
119,81,19,0,100,0,0.81,1,0.81,0,0.895028,0.405,2,0.710955
120,80,20,0,100,0,0.8,1,0.8,0,0.888889,0.4,2,0.711833
121,79,21,0,100,0,0.79,1,0.79,0,0.882682,0.395,2,0.712401
122,78,22,0,100,0,0.78,1,0.78,0,0.876404,0.39,2,0.714004
123,77,23,0,100,0,0.77,1,0.77,0,0.870056,0.385,2,0.718192
124,76,24,0,100,0,0.76,1,0.76,0,0.863636,0.38,2,0.721069
125,75,25,0,100,0,0.75,1,0.75,0,0.857143,0.375,2,0.721725
126,74,26,0,100,0,0.74,1,0.74,0,0.850575,0.37,2,0.723354
127,73,27,0,100,0,0.73,1,0.73,0,0.843931,0.365,2,0.727148
128,72,28,0,100,0,0.72,1,0.72,0,0.837209,0.36,2,0.730761
129,71,29,0,100,0,0.71,1,0.71,0,0.830409,0.355,2,0.738982
130,70,30,0,100,0,0.7,1,0.7,0,0.823529,0.35,2,0.747788
131,69,31,0,100,0,0.69,1,0.69,0,0.816568,0.345,2,0.75058
132,68,32,0,100,0,0.68,1,0.68,0,0.809524,0.34,2,0.753683
133,67,33,0,100,0,0.67,1,0.67,0,0.802395,0.335,2,0.756422
134,66,34,0,100,0,0.66,1,0.66,0,0.795181,0.33,2,0.75875
135,65,35,0,100,0,0.65,1,0.65,0,0.787879,0.325,2,0.759999
136,64,36,0,100,0,0.64,1,0.64,0,0.780488,0.32,2,0.761214
137,63,37,0,100,0,0.63,1,0.63,0,0.773006,0.315,2,0.762124
138,62,38,0,100,0,0.62,1,0.62,0,0.765432,0.31,2,0.763862
139,61,39,0,100,0,0.61,1,0.61,0,0.757764,0.305,2,0.766543
140,60,40,0,100,0,0.6,1,0.6,0,0.75,0.3,2,0.767942
141,59,41,0,100,0,0.59,1,0.59,0,0.742138,0.295,2,0.769167
142,58,42,0,100,0,0.58,1,0.58,0,0.734177,0.29,2,0.771188
143,57,43,0,100,0,0.57,1,0.57,0,0.726115,0.285,2,0.771248
144,56,44,0,100,0,0.56,1,0.56,0,0.717949,0.28,2,0.775763
145,55,45,0,100,0,0.55,1,0.55,0,0.709677,0.275,2,0.777249
146,54,46,0,100,0,0.54,1,0.54,0,0.701299,0.27,2,0.779018
147,53,47,0,100,0,0.53,1,0.53,0,0.69281,0.265,2,0.779938
148,52,48,0,100,0,0.52,1,0.52,0,0.684211,0.26,2,0.780077
149,51,49,0,100,0,0.51,1,0.51,0,0.675497,0.255,2,0.782545
150,50,50,0,100,0,0.5,1,0.5,0,0.666667,0.25,2,0.787605
151,49,51,0,100,0,0.49,1,0.49,0,0.657718,0.245,2,0.787784
152,48,52,0,100,0,0.48,1,0.48,0,0.648649,0.24,2,0.787791
153,47,53,0,100,0,0.47,1,0.47,0,0.639456,0.235,2,0.787831
154,46,54,0,100,0,0.46,1,0.46,0,0.630137,0.23,2,0.790218
155,45,55,0,100,0,0.45,1,0.45,0,0.62069,0.225,2,0.791868
156,44,56,0,100,0,0.44,1,0.44,0,0.611111,0.22,2,0.7937
157,43,57,0,100,0,0.43,1,0.43,0,0.601399,0.215,2,0.795931
158,42,58,0,100,0,0.42,1,0.42,0,0.591549,0.21,2,0.796568
159,41,59,0,100,0,0.41,1,0.41,0,0.58156,0.205,2,0.799312
160,40,60,0,100,0,0.4,1,0.4,0,0.571429,0.2,2,0.800691
161,39,61,0,100,0,0.39,1,0.39,0,0.561151,0.195,2,0.80105
162,38,62,0,100,0,0.38,1,0.38,0,0.550725,0.19,2,0.804217
163,37,63,0,100,0,0.37,1,0.37,0,0.540146,0.185,2,0.804366
164,36,64,0,100,0,0.36,1,0.36,0,0.529412,0.18,2,0.80499
165,35,65,0,100,0,0.35,1,0.35,0,0.518519,0.175,2,0.805676
166,34,66,0,100,0,0.34,1,0.34,0,0.507463,0.17,2,0.808195
167,33,67,0,100,0,0.33,1,0.33,0,0.496241,0.165,2,0.808414
168,32,68,0,100,0,0.32,1,0.32,0,0.484848,0.16,2,0.809536
169,31,69,0,100,0,0.31,1,0.31,0,0.473282,0.155,2,0.812723
170,30,70,0,100,0,0.3,1,0.3,0,0.461538,0.15,2,0.812848
171,29,71,0,100,0,0.29,1,0.29,0,0.449612,0.145,2,0.816735
172,28,72,0,100,0,0.28,1,0.28,0,0.4375,0.14,2,0.821364
173,27,73,0,100,0,0.27,1,0.27,0,0.425197,0.135,2,0.823844
174,26,74,0,100,0,0.26,1,0.26,0,0.412698,0.13,2,0.824972
175,25,75,0,100,0,0.25,1,0.25,0,0.4,0.125,2,0.825294
176,24,76,0,100,0,0.24,1,0.24,0,0.387097,0.12,2,0.825974
177,23,77,0,100,0,0.23,1,0.23,0,0.373984,0.115,2,0.826305
178,22,78,0,100,0,0.22,1,0.22,0,0.360656,0.11,2,0.827229
