@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
59,98,2,43,57,0.43,0.98,0.695035,0.98,0.304965,0.813278,0.705,1.390071,0.213801
60,98,2,42,58,0.42,0.98,0.7,0.98,0.3,0.816667,0.7,1.4,0.215211
61,98,2,41,59,0.41,0.98,0.705036,0.98,0.294964,0.820084,0.695,1.410072,0.219508
62,98,2,40,60,0.4,0.98,0.710145,0.98,0.289855,0.823529,0.69,1.42029,0.220997
63,98,2,39,61,0.39,0.98,0.715328,0.98,0.284672,0.827004,0.685,1.430657,0.222191
64,98,2,38,62,0.38,0.98,0.720588,0.98,0.279412,0.830508,0.68,1.441176,0.22538
65,98,2,37,63,0.37,0.98,0.725926,0.98,0.274074,0.834043,0.675,1.451852,0.228573
66,98,2,36,64,0.36,0.98,0.731343,0.98,0.268657,0.837607,0.67,1.462687,0.24892
67,98,2,35,65,0.35,0.98,0.736842,0.98,0.263158,0.841202,0.665,1.473684,0.251251
68,98,2,34,66,0.34,0.98,0.742424,0.98,0.257576,0.844828,0.66,1.484848,0.254938
69,98,2,33,67,0.33,0.98,0.748092,0.98,0.251908,0.848485,0.655,1.496183,0.25567
70,98,2,32,68,0.32,0.98,0.753846,0.98,0.246154,0.852174,0.65,1.507692,0.265433
71,98,2,31,69,0.31,0.98,0.75969,0.98,0.24031,0.855895,0.645,1.51938,0.279196
72,98,2,30,70,0.3,0.98,0.765625,0.98,0.234375,0.859649,0.64,1.53125,0.28085
73,98,2,29,71,0.29,0.98,0.771654,0.98,0.228346,0.863436,0.635,1.543307,0.296414
74,97,3,29,71,0.29,0.97,0.769841,0.97,0.230159,0.858407,0.63,1.539683,0.302351
75,97,3,28,72,0.28,0.97,0.776,0.97,0.224,0.862222,0.625,1.552,0.314908
76,96,4,28,72,0.28,0.96,0.774194,0.96,0.225806,0.857143,0.62,1.548387,0.315557
77,95,5,28,72,0.28,0.95,0.772358,0.95,0.227642,0.852018,0.615,1.544715,0.317629
78,95,5,27,73,0.27,0.95,0.778689,0.95,0.221311,0.855856,0.61,1.557377,0.34231
79,94,6,27,73,0.27,0.94,0.77686,0.94,0.22314,0.850679,0.605,1.553719,0.343869
80,93,7,27,73,0.27,0.93,0.775,0.93,0.225,0.845455,0.6,1.55,0.366889
81,92,8,27,73,0.27,0.92,0.773109,0.92,0.226891,0.840183,0.595,1.546218,0.371614
82,91,9,27,73,0.27,0.91,0.771186,0.91,0.228814,0.834862,0.59,1.542373,0.372966
83,91,9,26,74,0.26,0.91,0.777778,0.91,0.222222,0.83871,0.585,1.555556,0.382785
84,90,10,26,74,0.26,0.9,0.775862,0.9,0.224138,0.833333,0.58,1.551724,0.383144
85,90,10,25,75,0.25,0.9,0.782609,0.9,0.217391,0.837209,0.575,1.565217,0.387326
86,90,10,24,76,0.24,0.9,0.789474,0.9,0.210526,0.841121,0.57,1.578947,0.392551
87,90,10,23,77,0.23,0.9,0.79646,0.9,0.20354,0.84507,0.565,1.59292,0.39591
88,90,10,22,78,0.22,0.9,0.803571,0.9,0.196429,0.849057,0.56,1.607143,0.414127
89,90,10,21,79,0.21,0.9,0.810811,0.9,0.189189,0.853081,0.555,1.621622,0.419095
90,90,10,20,80,0.2,0.9,0.818182,0.9,0.181818,0.857143,0.55,1.636364,0.42226
91,89,11,20,80,0.2,0.89,0.816514,0.89,0.183486,0.851675,0.545,1.633028,0.434981
92,89,11,19,81,0.19,0.89,0.824074,0.89,0.175926,0.855769,0.54,1.648148,0.43743
93,89,11,18,82,0.18,0.89,0.831776,0.89,0.168224,0.859903,0.535,1.663551,0.440461
94,89,11,17,83,0.17,0.89,0.839623,0.89,0.160377,0.864078,0.53,1.679245,0.450637
95,89,11,16,84,0.16,0.89,0.847619,0.89,0.152381,0.868293,0.525,1.695238,0.451628
96,89,11,15,85,0.15,0.89,0.855769,0.89,0.144231,0.872549,0.52,1.711538,0.45427
97,88,12,15,85,0.15,0.88,0.854369,0.88,0.145631,0.866995,0.515,1.708738,0.454798
98,88,12,14,86,0.14,0.88,0.862745,0.88,0.137255,0.871287,0.51,1.72549,0.463526
99,88,12,13,87,0.13,0.88,0.871287,0.88,0.128713,0.875622,0.505,1.742574,0.473248
100,88,12,12,88,0.12,0.88,0.88,0.88,0.12,0.88,0.5,1.76,0.476108
101,88,12,11,89,0.11,0.88,0.888889,0.88,0.111111,0.884422,0.495,1.777778,0.487214
102,87,13,11,89,0.11,0.87,0.887755,0.87,0.112245,0.878788,0.49,1.77551,0.515264
103,87,13,10,90,0.1,0.87,0.896907,0.87,0.103093,0.883249,0.485,1.793814,0.518145
104,86,14,10,90,0.1,0.86,0.895833,0.86,0.104167,0.877551,0.48,1.791667,0.518349
105,86,14,9,91,0.09,0.86,0.905263,0.86,0.094737,0.882051,0.475,1.810526,0.527813
106,85,15,9,91,0.09,0.85,0.904255,0.85,0.095745,0.876289,0.47,1.808511,0.538908
107,84,16,9,91,0.09,0.84,0.903226,0.84,0.096774,0.870466,0.465,1.806452,0.553266
108,83,17,9,91,0.09,0.83,0.902174,0.83,0.097826,0.864583,0.46,1.804348,0.560186
109,82,18,9,91,0.09,0.82,0.901099,0.82,0.098901,0.858639,0.455,1.802198,0.5604
110,82,18,8,92,0.08,0.82,0.911111,0.82,0.088889,0.863158,0.45,1.822222,0.562529
111,81,19,8,92,0.08,0.81,0.910112,0.81,0.089888,0.857143,0.445,1.820225,0.57063
112,80,20,8,92,0.08,0.8,0.909091,0.8,0.090909,0.851064,0.44,1.818182,0.571128
113,80,20,7,93,0.07,0.8,0.91954,0.8,0.08046,0.855615,0.435,1.83908,0.572931
114,80,20,6,94,0.06,0.8,0.930233,0.8,0.069767,0.860215,0.43,1.860465,0.580394
115,79,21,6,94,0.06,0.79,0.929412,0.79,0.070588,0.854054,0.425,1.858824,0.591322
116,78,22,6,94,0.06,0.78,0.928571,0.78,0.071429,0.847826,0.42,1.857143,0.59292
117,77,23,6,94,0.06,0.77,0.927711,0.77,0.072289,0.84153,0.415,1.855422,0.596892
118,76,24,6,94,0.06,0.76,0.926829,0.76,0.073171,0.835165,0.41,1.853659,0.601743
119,75,25,6,94,0.06,0.75,0.925926,0.75,0.074074,0.828729,0.405,1.851852,0.602039
120,74,26,6,94,0.06,0.74,0.925,0.74,0.075,0.822222,0.4,1.85,0.604251
121,73,27,6,94,0.06,0.73,0.924051,0.73,0.075949,0.815642,0.395,1.848101,0.60634
122,72,28,6,94,0.06,0.72,0.923077,0.72,0.076923,0.808989,0.39,1.846154,0.607731
123,71,29,6,94,0.06,0.71,0.922078,0.71,0.077922,0.80226,0.385,1.844156,0.608822
124,70,30,6,94,0.06,0.7,0.921053,0.7,0.078947,0.795455,0.38,1.842105,0.61113
125,69,31,6,94,0.06,0.69,0.92,0.69,0.08,0.788571,0.375,1.84,0.617944
126,68,32,6,94,0.06,0.68,0.918919,0.68,0.081081,0.781609,0.37,1.837838,0.632352
127,68,32,5,95,0.05,0.68,0.931507,0.68,0.068493,0.786127,0.365,1.863014,0.633268
128,67,33,5,95,0.05,0.67,0.930556,0.67,0.069444,0.77907,0.36,1.861111,0.635084
129,67,33,4,96,0.04,0.67,0.943662,0.67,0.056338,0.783626,0.355,1.887324,0.641544
130,66,34,4,96,0.04,0.66,0.942857,0.66,0.057143,0.776471,0.35,1.885714,0.643695
131,65,35,4,96,0.04,0.65,0.942029,0.65,0.057971,0.769231,0.345,1.884058,0.647575
132,65,35,3,97,0.03,0.65,0.955882,0.65,0.044118,0.77381,0.34,1.911765,0.648135
133,64,36,3,97,0.03,0.64,0.955224,0.64,0.044776,0.766467,0.335,1.910448,0.64859
134,63,37,3,97,0.03,0.63,0.954545,0.63,0.045455,0.759036,0.33,1.909091,0.662681
135,62,38,3,97,0.03,0.62,0.953846,0.62,0.046154,0.751515,0.325,1.907692,0.676146
136,61,39,3,97,0.03,0.61,0.953125,0.61,0.046875,0.743902,0.32,1.90625,0.696648
137,61,39,2,98,0.02,0.61,0.968254,0.61,0.031746,0.748466,0.315,1.936508,0.698687
138,61,39,1,99,0.01,0.61,0.983871,0.61,0.016129,0.753086,0.31,1.967742,0.700378
139,60,40,1,99,0.01,0.6,0.983607,0.6,0.016393,0.745342,0.305,1.967213,0.720451
140,59,41,1,99,0.01,0.59,0.983333,0.59,0.016667,0.7375,0.3,1.966667,0.745013
141,58,42,1,99,0.01,0.58,0.983051,0.58,0.016949,0.72956,0.295,1.966102,0.747341
142,57,43,1,99,0.01,0.57,0.982759,0.57,0.017241,0.721519,0.29,1.965517,0.749151
143,56,44,1,99,0.01,0.56,0.982456,0.56,0.017544,0.713376,0.285,1.964912,0.753184
144,55,45,1,99,0.01,0.55,0.982143,0.55,0.017857,0.705128,0.28,1.964286,0.766098
145,54,46,1,99,0.01,0.54,0.981818,0.54,0.018182,0.696774,0.275,1.963636,0.768813
146,53,47,1,99,0.01,0.53,0.981481,0.53,0.018519,0.688312,0.27,1.962963,0.769405
147,52,48,1,99,0.01,0.52,0.981132,0.52,0.018868,0.679739,0.265,1.962264,0.769713
148,51,49,1,99,0.01,0.51,0.980769,0.51,0.019231,0.671053,0.26,1.961538,0.823388
149,50,50,1,99,0.01,0.5,0.980392,0.5,0.019608,0.662252,0.255,1.960784,0.837651
150,49,51,1,99,0.01,0.49,0.98,0.49,0.02,0.653333,0.25,1.96,0.849117
151,48,52,1,99,0.01,0.48,0.979592,0.48,0.020408,0.644295,0.245,1.959184,0.858907
152,47,53,1,99,0.01,0.47,0.979167,0.47,0.020833,0.635135,0.24,1.958333,0.859331
153,46,54,1,99,0.01,0.46,0.978723,0.46,0.021277,0.62585,0.235,1.957447,0.864583
