@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
59,85,15,56,44,0.56,0.85,0.602837,0.85,0.397163,0.705394,0.705,1.205674,0.098775
60,85,15,55,45,0.55,0.85,0.607143,0.85,0.392857,0.708333,0.7,1.214286,0.103435
61,85,15,54,46,0.54,0.85,0.611511,0.85,0.388489,0.711297,0.695,1.223022,0.104397
62,85,15,53,47,0.53,0.85,0.615942,0.85,0.384058,0.714286,0.69,1.231884,0.116538
63,85,15,52,48,0.52,0.85,0.620438,0.85,0.379562,0.7173,0.685,1.240876,0.12226
64,84,16,52,48,0.52,0.84,0.617647,0.84,0.382353,0.711864,0.68,1.235294,0.134844
65,84,16,51,49,0.51,0.84,0.622222,0.84,0.377778,0.714894,0.675,1.244444,0.14558
66,83,17,51,49,0.51,0.83,0.619403,0.83,0.380597,0.709402,0.67,1.238806,0.157075
67,83,17,50,50,0.5,0.83,0.62406,0.83,0.37594,0.712446,0.665,1.24812,0.16019
68,82,18,50,50,0.5,0.82,0.621212,0.82,0.378788,0.706897,0.66,1.242424,0.175866
69,81,19,50,50,0.5,0.81,0.618321,0.81,0.381679,0.701299,0.655,1.236641,0.190927
70,80,20,50,50,0.5,0.8,0.615385,0.8,0.384615,0.695652,0.65,1.230769,0.192349
71,79,21,50,50,0.5,0.79,0.612403,0.79,0.387597,0.689956,0.645,1.224806,0.192671
72,79,21,49,51,0.49,0.79,0.617188,0.79,0.382813,0.692982,0.64,1.234375,0.201975
73,78,22,49,51,0.49,0.78,0.614173,0.78,0.385827,0.687225,0.635,1.228346,0.208517
74,78,22,48,52,0.48,0.78,0.619048,0.78,0.380952,0.690265,0.63,1.238095,0.209879
75,78,22,47,53,0.47,0.78,0.624,0.78,0.376,0.693333,0.625,1.248,0.214175
76,78,22,46,54,0.46,0.78,0.629032,0.78,0.370968,0.696429,0.62,1.258065,0.218446
77,77,23,46,54,0.46,0.77,0.626016,0.77,0.373984,0.690583,0.615,1.252033,0.222899
78,76,24,46,54,0.46,0.76,0.622951,0.76,0.377049,0.684685,0.61,1.245902,0.229513
79,75,25,46,54,0.46,0.75,0.619835,0.75,0.380165,0.678733,0.605,1.239669,0.251474
80,74,26,46,54,0.46,0.74,0.616667,0.74,0.383333,0.672727,0.6,1.233333,0.266571
81,74,26,45,55,0.45,0.74,0.621849,0.74,0.378151,0.675799,0.595,1.243697,0.271541
82,73,27,45,55,0.45,0.73,0.618644,0.73,0.381356,0.669725,0.59,1.237288,0.283214
83,72,28,45,55,0.45,0.72,0.615385,0.72,0.384615,0.663594,0.585,1.230769,0.304056
84,71,29,45,55,0.45,0.71,0.612069,0.71,0.387931,0.657407,0.58,1.224138,0.318602
85,71,29,44,56,0.44,0.71,0.617391,0.71,0.382609,0.660465,0.575,1.234783,0.320948
86,71,29,43,57,0.43,0.71,0.622807,0.71,0.377193,0.663551,0.57,1.245614,0.324729
87,70,30,43,57,0.43,0.7,0.619469,0.7,0.380531,0.657277,0.565,1.238938,0.334227
88,69,31,43,57,0.43,0.69,0.616071,0.69,0.383929,0.650943,0.56,1.232143,0.368497
89,68,32,43,57,0.43,0.68,0.612613,0.68,0.387387,0.64455,0.555,1.225225,0.401878
90,67,33,43,57,0.43,0.67,0.609091,0.67,0.390909,0.638095,0.55,1.218182,0.416631
91,66,34,43,57,0.43,0.66,0.605505,0.66,0.394495,0.631579,0.545,1.211009,0.423998
92,65,35,43,57,0.43,0.65,0.601852,0.65,0.398148,0.625,0.54,1.203704,0.432469
93,64,36,43,57,0.43,0.64,0.598131,0.64,0.401869,0.618357,0.535,1.196262,0.464557
94,63,37,43,57,0.43,0.63,0.59434,0.63,0.40566,0.61165,0.53,1.188679,0.468421
95,63,37,42,58,0.42,0.63,0.6,0.63,0.4,0.614634,0.525,1.2,0.472338
96,63,37,41,59,0.41,0.63,0.605769,0.63,0.394231,0.617647,0.52,1.211538,0.475698
97,63,37,40,60,0.4,0.63,0.61165,0.63,0.38835,0.62069,0.515,1.223301,0.485241
98,63,37,39,61,0.39,0.63,0.617647,0.63,0.382353,0.623762,0.51,1.235294,0.492273
99,63,37,38,62,0.38,0.63,0.623762,0.63,0.376238,0.626866,0.505,1.247525,0.5049
100,63,37,37,63,0.37,0.63,0.63,0.63,0.37,0.63,0.5,1.26,0.517171
101,62,38,37,63,0.37,0.62,0.626263,0.62,0.373737,0.623116,0.495,1.252525,0.521786
102,61,39,37,63,0.37,0.61,0.622449,0.61,0.377551,0.616162,0.49,1.244898,0.528883
103,61,39,36,64,0.36,0.61,0.628866,0.61,0.371134,0.619289,0.485,1.257732,0.532964
104,61,39,35,65,0.35,0.61,0.635417,0.61,0.364583,0.622449,0.48,1.270833,0.533086
105,60,40,35,65,0.35,0.6,0.631579,0.6,0.368421,0.615385,0.475,1.263158,0.545393
106,59,41,35,65,0.35,0.59,0.62766,0.59,0.37234,0.608247,0.47,1.255319,0.566841
107,59,41,34,66,0.34,0.59,0.634409,0.59,0.365591,0.611399,0.465,1.268817,0.606763
108,58,42,34,66,0.34,0.58,0.630435,0.58,0.369565,0.604167,0.46,1.26087,0.612167
109,57,43,34,66,0.34,0.57,0.626374,0.57,0.373626,0.596859,0.455,1.252747,0.642603
110,56,44,34,66,0.34,0.56,0.622222,0.56,0.377778,0.589474,0.45,1.244444,0.679671
111,55,45,34,66,0.34,0.55,0.617978,0.55,0.382022,0.582011,0.445,1.235955,0.680205
112,54,46,34,66,0.34,0.54,0.613636,0.54,0.386364,0.574468,0.44,1.227273,0.682076
113,54,46,33,67,0.33,0.54,0.62069,0.54,0.37931,0.57754,0.435,1.241379,0.686218
114,53,47,33,67,0.33,0.53,0.616279,0.53,0.383721,0.569892,0.43,1.232558,0.696988
115,53,47,32,68,0.32,0.53,0.623529,0.53,0.376471,0.572973,0.425,1.247059,0.697723
116,53,47,31,69,0.31,0.53,0.630952,0.53,0.369048,0.576087,0.42,1.261905,0.705216
117,53,47,30,70,0.3,0.53,0.638554,0.53,0.361446,0.579235,0.415,1.277108,0.711598
118,52,48,30,70,0.3,0.52,0.634146,0.52,0.365854,0.571429,0.41,1.268293,0.717902
119,51,49,30,70,0.3,0.51,0.62963,0.51,0.37037,0.563536,0.405,1.259259,0.722134
120,50,50,30,70,0.3,0.5,0.625,0.5,0.375,0.555556,0.4,1.25,0.726918
121,49,51,30,70,0.3,0.49,0.620253,0.49,0.379747,0.547486,0.395,1.240506,0.751574
122,49,51,29,71,0.29,0.49,0.628205,0.49,0.371795,0.550562,0.39,1.25641,0.763097
123,48,52,29,71,0.29,0.48,0.623377,0.48,0.376623,0.542373,0.385,1.246753,0.793151
124,48,52,28,72,0.28,0.48,0.631579,0.48,0.368421,0.545455,0.38,1.263158,0.796468
125,48,52,27,73,0.27,0.48,0.64,0.48,0.36,0.548571,0.375,1.28,0.801708
126,48,52,26,74,0.26,0.48,0.648649,0.48,0.351351,0.551724,0.37,1.297297,0.818121
127,48,52,25,75,0.25,0.48,0.657534,0.48,0.342466,0.554913,0.365,1.315068,0.824046
128,48,52,24,76,0.24,0.48,0.666667,0.48,0.333333,0.55814,0.36,1.333333,0.840457
129,48,52,23,77,0.23,0.48,0.676056,0.48,0.323944,0.561404,0.355,1.352113,0.847794
130,48,52,22,78,0.22,0.48,0.685714,0.48,0.314286,0.564706,0.35,1.371429,0.858077
131,48,52,21,79,0.21,0.48,0.695652,0.48,0.304348,0.568047,0.345,1.391304,0.871628
132,48,52,20,80,0.2,0.48,0.705882,0.48,0.294118,0.571429,0.34,1.411765,0.877735
133,47,53,20,80,0.2,0.47,0.701493,0.47,0.298507,0.562874,0.335,1.402985,0.878977
134,47,53,19,81,0.19,0.47,0.712121,0.47,0.287879,0.566265,0.33,1.424242,0.879718
135,46,54,19,81,0.19,0.46,0.707692,0.46,0.292308,0.557576,0.325,1.415385,0.887917
136,46,54,18,82,0.18,0.46,0.71875,0.46,0.28125,0.560976,0.32,1.4375,0.8954
137,46,54,17,83,0.17,0.46,0.730159,0.46,0.269841,0.564417,0.315,1.460317,0.904429
138,46,54,16,84,0.16,0.46,0.741935,0.46,0.258065,0.567901,0.31,1.483871,0.909597
139,46,54,15,85,0.15,0.46,0.754098,0.46,0.245902,0.571429,0.305,1.508197,0.910726
140,46,54,14,86,0.14,0.46,0.766667,0.46,0.233333,0.575,0.3,1.533333,0.911489
141,45,55,14,86,0.14,0.45,0.762712,0.45,0.237288,0.566038,0.295,1.525424,0.917972
142,44,56,14,86,0.14,0.44,0.758621,0.44,0.241379,0.556962,0.29,1.517241,0.920394
143,43,57,14,86,0.14,0.43,0.754386,0.43,0.245614,0.547771,0.285,1.508772,0.929331
144,43,57,13,87,0.13,0.43,0.767857,0.43,0.232143,0.551282,0.28,1.535714,0.929455
145,42,58,13,87,0.13,0.42,0.763636,0.42,0.236364,0.541935,0.275,1.527273,0.931387
146,41,59,13,87,0.13,0.41,0.759259,0.41,0.240741,0.532468,0.27,1.518519,0.931966
147,40,60,13,87,0.13,0.4,0.754717,0.4,0.245283,0.522876,0.265,1.509434,0.934849
148,39,61,13,87,0.13,0.39,0.75,0.39,0.25,0.513158,0.26,1.5,0.938303
149,38,62,13,87,0.13,0.38,0.745098,0.38,0.254902,0.503311,0.255,1.490196,0.941162
150,37,63,13,87,0.13,0.37,0.74,0.37,0.26,0.493333,0.25,1.48,0.941168
151,36,64,13,87,0.13,0.36,0.734694,0.36,0.265306,0.483221,0.245,1.469388,0.941481
152,35,65,13,87,0.13,0.35,0.729167,0.35,0.270833,0.472973,0.24,1.458333,0.945058
153,35,65,12,88,0.12,0.35,0.744681,0.35,0.255319,0.47619,0.235,1.489362,0.945653
154,34,66,12,88,0.12,0.34,0.73913,0.34,0.26087,0.465753,0.23,1.478261,0.94721
155,33,67,12,88,0.12,0.33,0.733333,0.33,0.266667,0.455172,0.225,1.466667,0.950233
156,32,68,12,88,0.12,0.32,0.727273,0.32,0.272727,0.444444,0.22,1.454545,0.95032
157,31,69,12,88,0.12,0.31,0.72093,0.31,0.27907,0.433566,0.215,1.44186,0.951291
158,31,69,11,89,0.11,0.31,0.738095,0.31,0.261905,0.43662,0.21,1.47619,0.955318
159,30,70,11,89,0.11,0.3,0.731707,0.3,0.268293,0.425532,0.205,1.463415,0.958184
160,29,71,11,89,0.11,0.29,0.725,0.29,0.275,0.414286,0.2,1.45,0.962059
161,28,72,11,89,0.11,0.28,0.717949,0.28,0.282051,0.402878,0.195,1.435897,0.971219
162,28,72,10,90,0.1,0.28,0.736842,0.28,0.263158,0.405797,0.19,1.473684,0.972109
163,27,73,10,90,0.1,0.27,0.72973,0.27,0.27027,0.394161,0.185,1.459459,0.973392
164,27,73,9,91,0.09,0.27,0.75,0.27,0.25,0.397059,0.18,1.5,0.975047
165,26,74,9,91,0.09,0.26,0.742857,0.26,0.257143,0.385185,0.175,1.485714,0.976539
166,25,75,9,91,0.09,0.25,0.735294,0.25,0.264706,0.373134,0.17,1.470588,0.97763
167,25,75,8,92,0.08,0.25,0.757576,0.25,0.242424,0.37594,0.165,1.515152,0.98132
168,24,76,8,92,0.08,0.24,0.75,0.24,0.25,0.363636,0.16,1.5,0.981636
169,24,76,7,93,0.07,0.24,0.774194,0.24,0.225806,0.366412,0.155,1.548387,0.983921
170,23,77,7,93,0.07,0.23,0.766667,0.23,0.233333,0.353846,0.15,1.533333,0.984094
171,22,78,7,93,0.07,0.22,0.758621,0.22,0.241379,0.341085,0.145,1.517241,0.986302
172,21,79,7,93,0.07,0.21,0.75,0.21,0.25,0.328125,0.14,1.5,0.986343
173,20,80,7,93,0.07,0.2,0.740741,0.2,0.259259,0.314961,0.135,1.481481,0.986844
174,19,81,7,93,0.07,0.19,0.730769,0.19,0.269231,0.301587,0.13,1.461538,0.987305
175,18,82,7,93,0.07,0.18,0.72,0.18,0.28,0.288,0.125,1.44,0.990563
176,17,83,7,93,0.07,0.17,0.708333,0.17,0.291667,0.274194,0.12,1.416667,0.990775
177,17,83,6,94,0.06,0.17,0.73913,0.17,0.26087,0.276423,0.115,1.478261,0.991058
178,17,83,5,95,0.05,0.17,0.772727,0.17,0.227273,0.278689,0.11,1.545455,0.991461
179,16,84,5,95,0.05,0.16,0.761905,0.16,0.238095,0.264463,0.105,1.52381,0.993541
180,15,85,5,95,0.05,0.15,0.75,0.15,0.25,0.25,0.1,1.5,0.993578
181,15,85,4,96,0.04,0.15,0.789474,0.15,0.210526,0.252101,0.095,1.578947,0.994429
182,14,86,4,96,0.04,0.14,0.777778,0.14,0.222222,0.237288,0.09,1.555556,0.995915
183,13,87,4,96,0.04,0.13,0.764706,0.13,0.235294,0.222222,0.085,1.529412,0.996237
184,12,88,4,96,0.04,0.12,0.75,0.12,0.25,0.206897,0.08,1.5,0.99698
185,11,89,4,96,0.04,0.11,0.733333,0.11,0.266667,0.191304,0.075,1.466667,0.99702
186,11,89,3,97,0.03,0.11,0.785714,0.11,0.214286,0.192982,0.07,1.571429,0.99711
187,10,90,3,97,0.03,0.1,0.769231,0.1,0.230769,0.176991,0.065,1.538462,0.997246
188,9,91,3,97,0.03,0.09,0.75,0.09,0.25,0.160714,0.06,1.5,0.997261
189,8,92,3,97,0.03,0.08,0.727273,0.08,0.272727,0.144144,0.055,1.454545,0.997492
190,7,93,3,97,0.03,0.07,0.7,0.07,0.3,0.127273,0.05,1.4,0.997868
191,6,94,3,97,0.03,0.06,0.666667,0.06,0.333333,0.110092,0.045,1.333333,0.998116
192,5,95,3,97,0.03,0.05,0.625,0.05,0.375,0.092593,0.04,1.25,0.998434
193,5,95,2,98,0.02,0.05,0.714286,0.05,0.285714,0.093458,0.035,1.428571,0.99846
194,4,96,2,98,0.02,0.04,0.666667,0.04,0.333333,0.075472,0.03,1.333333,0.998584
195,3,97,2,98,0.02,0.03,0.6,0.03,0.4,0.057143,0.025,1.2,0.998669
196,3,97,1,99,0.01,0.03,0.75,0.03,0.25,0.057692,0.02,1.5,0.999121
197,2,98,1,99,0.01,0.02,0.666667,0.02,0.333333,0.038835,0.015,1.333333,0.9992
198,2,98,0,100,0,0.02,1,0.02,0,0.039216,0.01,2,0.999305
199,1,99,0,100,0,0.01,1,0.01,0,0.019802,0.005,?,0.999624
200,0,100,0,100,0,0,?,0,?,?,0,?,0.999634
